top,bottom,shoes,occasion,weather_condition,temp_c,mood,score,label
Hoodie,Skirt,Sandals,Wedding,Cloudy,37.9,Happy,0.15,0
Shirt,Pants,Casual Shoes,Wedding,Snow,9.2,Bold,1.0,1
Dress,Skirt,Casual Shoes,Date,Sunny,32.6,Romantic,0.9,1
Dress,Pants,Sports Shoes,Casual,Sunny,24.9,Professional,0.5,0
Blouse,Pants,Casual Shoes,Date,Clear,18.8,Professional,0.6,1
Jacket,Shorts,Casual Shoes,Wedding,Sunny,12.6,Relaxed,0.0,0
Hoodie,Skirt,Sports Shoes,Party,Cloudy,36.9,Happy,0.45,0
Coat,Jeans,Sports Shoes,Wedding,Clear,12.5,Romantic,0.25,0
Shirt,Jeans,Sandals,Casual,Rainy,38.0,Professional,0.6,1
Shirt,Skirt,Boots,Date,Sunny,37.7,Professional,0.6,1
Hoodie,Shorts,Heels,Date,Clear,20.2,Professional,0.5,0
T-Shirt,Skirt,Heels,Casual,Snow,13.6,Relaxed,0.85,1
Jacket,Pants,Boots,Casual,Clear,16.5,Happy,0.35,0
Coat,Jeans,Sports Shoes,Office,Rainy,38.0,Happy,0.25,0
Coat,Skirt,Casual Shoes,Office,Rainy,29.5,Romantic,0.65,1
Shirt,Jeans,Boots,Wedding,Sunny,29.5,Romantic,1.0,1
T-Shirt,Skirt,Casual Shoes,Date,Rainy,21.1,Happy,0.5,0
Shirt,Jeans,Heels,Office,Snow,24.6,Romantic,0.9,1
Hoodie,Skirt,Heels,Office,Cloudy,17.0,Relaxed,0.45,0
Jacket,Skirt,Heels,Office,Rainy,10.5,Relaxed,0.95,1
Shirt,Skirt,Heels,Office,Clear,13.9,Happy,1.0,1
Jacket,Jeans,Casual Shoes,Party,Snow,13.5,Relaxed,0.7,1
Coat,Pants,Casual Shoes,Date,Cloudy,14.3,Relaxed,0.7,1
Shirt,Pants,Sports Shoes,Casual,Clear,20.4,Romantic,0.6,1
T-Shirt,Pants,Sports Shoes,Casual,Snow,16.9,Romantic,0.8,1
Shirt,Pants,Heels,Office,Snow,25.1,Relaxed,1.0,1
Coat,Jeans,Sandals,Date,Snow,5.0,Romantic,0.75,1
Coat,Shorts,Casual Shoes,Casual,Cloudy,24.3,Professional,0.65,1
Coat,Skirt,Boots,Date,Snow,8.5,Happy,0.85,1
Blouse,Shorts,Casual Shoes,Date,Rainy,18.6,Professional,0.4,0
Sweater,Skirt,Casual Shoes,Date,Rainy,22.0,Bold,0.8,1
Sweater,Skirt,Sports Shoes,Date,Rainy,34.4,Happy,0.45,0
T-Shirt,Pants,Sports Shoes,Party,Cloudy,16.0,Romantic,0.6,1
Dress,Shorts,Sandals,Party,Clear,12.0,Romantic,0.5,0
Dress,Pants,Heels,Wedding,Sunny,16.7,Romantic,1.0,1
Blouse,Shorts,Heels,Party,Snow,35.3,Professional,0.45,0
Coat,Skirt,Casual Shoes,Casual,Snow,19.4,Romantic,0.8,1
T-Shirt,Shorts,Sandals,Wedding,Clear,16.3,Happy,0.0,0
Dress,Shorts,Boots,Date,Sunny,30.9,Romantic,1.0,1
Jacket,Jeans,Sandals,Casual,Snow,35.9,Bold,0.65,1
Coat,Pants,Boots,Office,Rainy,14.7,Professional,1.0,1
Coat,Shorts,Casual Shoes,Casual,Cloudy,37.5,Bold,0.6,1
Sweater,Jeans,Casual Shoes,Office,Clear,28.9,Romantic,0.25,0
Hoodie,Pants,Sandals,Wedding,Rainy,12.5,Relaxed,0.35,0
Shirt,Skirt,Sports Shoes,Party,Rainy,22.8,Romantic,0.5,0
T-Shirt,Shorts,Sports Shoes,Date,Clear,30.1,Professional,0.6,1
Coat,Skirt,Sports Shoes,Wedding,Snow,27.0,Romantic,0.7,1
Dress,Skirt,Boots,Party,Snow,8.2,Happy,0.95,1
Jacket,Jeans,Sports Shoes,Office,Snow,24.2,Professional,0.6,1
Sweater,Skirt,Casual Shoes,Date,Cloudy,5.4,Happy,0.7,1
Hoodie,Pants,Sandals,Party,Snow,11.4,Happy,0.75,1
Sweater,Skirt,Sandals,Wedding,Snow,21.3,Professional,0.75,1
Jacket,Pants,Sandals,Casual,Clear,24.8,Relaxed,0.6,1
T-Shirt,Shorts,Boots,Wedding,Sunny,24.8,Professional,0.0,0
T-Shirt,Skirt,Sports Shoes,Wedding,Cloudy,15.1,Romantic,0.1,0
Sweater,Shorts,Boots,Office,Sunny,36.5,Bold,0.15,0
T-Shirt,Skirt,Casual Shoes,Wedding,Rainy,37.2,Relaxed,0.3,0
Sweater,Pants,Casual Shoes,Date,Cloudy,6.0,Happy,0.7,1
Blouse,Pants,Sandals,Party,Snow,18.3,Relaxed,0.35,0
Coat,Pants,Heels,Wedding,Snow,23.1,Bold,1.0,1
Blouse,Jeans,Sandals,Party,Rainy,15.3,Romantic,0.35,0
Shirt,Shorts,Boots,Office,Snow,26.1,Happy,0.5,0
Blouse,Jeans,Sandals,Office,Rainy,32.7,Happy,0.7,1
Blouse,Jeans,Boots,Casual,Sunny,35.0,Bold,0.65,1
Dress,Skirt,Boots,Casual,Clear,31.5,Romantic,0.5,0
Blouse,Pants,Heels,Office,Snow,30.5,Relaxed,1.0,1
Blouse,Pants,Heels,Casual,Clear,6.0,Happy,0.6,1
Jacket,Shorts,Boots,Wedding,Cloudy,36.4,Professional,0.15,0
Jacket,Skirt,Sandals,Office,Cloudy,38.6,Bold,0.55,0
Hoodie,Jeans,Boots,Office,Rainy,14.1,Relaxed,0.6,1
T-Shirt,Skirt,Heels,Casual,Sunny,22.1,Happy,0.8,1
Blouse,Shorts,Casual Shoes,Casual,Snow,37.9,Bold,0.65,1
Jacket,Pants,Casual Shoes,Date,Cloudy,35.2,Bold,0.35,0
Hoodie,Shorts,Heels,Office,Snow,16.4,Relaxed,0.0,0
Blouse,Jeans,Boots,Date,Clear,22.9,Romantic,0.8,1
Shirt,Shorts,Sports Shoes,Wedding,Cloudy,38.5,Professional,0.1,0
Dress,Pants,Sports Shoes,Party,Rainy,35.8,Happy,0.8,1
Coat,Shorts,Sports Shoes,Date,Clear,33.9,Romantic,0.55,0
Sweater,Pants,Boots,Wedding,Sunny,17.9,Professional,0.7,1
Sweater,Skirt,Casual Shoes,Date,Snow,7.7,Professional,0.7,1
Shirt,Pants,Sandals,Office,Cloudy,33.9,Romantic,1.0,1
Blouse,Pants,Casual Shoes,Date,Rainy,31.0,Romantic,0.8,1
Sweater,Shorts,Heels,Party,Clear,32.5,Relaxed,0.5,0
Dress,Skirt,Sports Shoes,Wedding,Clear,22.7,Happy,0.35,0
Shirt,Shorts,Sports Shoes,Date,Clear,18.5,Happy,0.7,1
Hoodie,Jeans,Casual Shoes,Party,Clear,17.5,Happy,0.45,0
Coat,Jeans,Sports Shoes,Date,Sunny,33.0,Professional,0.25,0
Coat,Shorts,Boots,Party,Snow,37.2,Relaxed,0.45,0
Sweater,Shorts,Boots,Casual,Snow,18.1,Relaxed,0.95,1
Dress,Jeans,Sports Shoes,Wedding,Clear,10.8,Bold,0.15,0
T-Shirt,Pants,Heels,Party,Cloudy,19.3,Happy,0.9,1
Sweater,Skirt,Sandals,Office,Snow,10.4,Bold,0.75,1
Hoodie,Skirt,Sports Shoes,Party,Sunny,29.3,Professional,0.25,0
Jacket,Shorts,Casual Shoes,Casual,Cloudy,20.2,Happy,0.85,1
Dress,Pants,Heels,Casual,Clear,5.0,Happy,0.6,1
Shirt,Shorts,Boots,Casual,Cloudy,14.7,Bold,0.6,1
Hoodie,Jeans,Boots,Date,Sunny,14.1,Bold,0.7,1
Hoodie,Pants,Sports Shoes,Date,Rainy,10.5,Bold,0.8,1
Hoodie,Skirt,Heels,Party,Clear,33.2,Relaxed,0.55,1
Coat,Skirt,Heels,Wedding,Clear,26.5,Romantic,0.85,1
T-Shirt,Pants,Casual Shoes,Office,Clear,23.6,Romantic,0.4,0
T-Shirt,Skirt,Heels,Date,Sunny,14.9,Happy,0.65,1
Jacket,Jeans,Sports Shoes,Date,Sunny,14.1,Relaxed,0.45,0
Sweater,Skirt,Heels,Party,Sunny,23.3,Professional,0.35,0
Hoodie,Shorts,Boots,Casual,Snow,28.8,Professional,0.75,1
Hoodie,Jeans,Casual Shoes,Office,Rainy,13.1,Professional,0.5,0
Coat,Jeans,Sandals,Wedding,Clear,27.1,Relaxed,0.35,0
Sweater,Shorts,Sandals,Office,Snow,6.3,Romantic,0.0,0
Blouse,Jeans,Sandals,Casual,Clear,19.2,Happy,0.95,1
Shirt,Jeans,Heels,Wedding,Snow,20.9,Bold,1.0,1
T-Shirt,Shorts,Heels,Party,Clear,17.5,Professional,0.75,1
Shirt,Shorts,Heels,Party,Cloudy,12.2,Romantic,0.45,0
Sweater,Skirt,Boots,Wedding,Sunny,20.9,Bold,0.7,1
T-Shirt,Pants,Sandals,Party,Rainy,29.6,Bold,0.7,1
Hoodie,Jeans,Sports Shoes,Wedding,Clear,14.5,Happy,0.0,0
Hoodie,Pants,Heels,Casual,Cloudy,17.4,Romantic,0.7,1
Sweater,Pants,Casual Shoes,Date,Sunny,33.0,Bold,0.35,0
Hoodie,Skirt,Boots,Party,Snow,7.9,Relaxed,0.95,1
T-Shirt,Shorts,Heels,Casual,Sunny,12.9,Happy,0.85,1
Coat,Skirt,Boots,Wedding,Snow,18.8,Bold,1.0,1
Hoodie,Pants,Sandals,Date,Sunny,13.8,Romantic,0.6,1
Blouse,Pants,Sandals,Office,Cloudy,29.8,Relaxed,0.95,1
Jacket,Pants,Casual Shoes,Party,Clear,9.5,Professional,0.35,0
Blouse,Skirt,Sandals,Casual,Clear,26.2,Bold,0.7,1
Jacket,Shorts,Sandals,Office,Cloudy,27.6,Bold,0.15,0
Shirt,Skirt,Sandals,Casual,Snow,5.0,Professional,0.35,0
Shirt,Pants,Casual Shoes,Casual,Cloudy,36.8,Happy,0.7,1
Sweater,Jeans,Casual Shoes,Wedding,Snow,25.7,Romantic,0.85,1
Jacket,Jeans,Heels,Casual,Rainy,31.8,Bold,0.6,1
Jacket,Shorts,Sandals,Date,Snow,19.1,Happy,0.35,0
Jacket,Pants,Heels,Wedding,Rainy,9.6,Bold,1.0,1
Sweater,Shorts,Sandals,Casual,Snow,33.2,Romantic,0.55,0
Shirt,Skirt,Sports Shoes,Party,Cloudy,18.6,Relaxed,0.5,0
Jacket,Pants,Boots,Party,Snow,24.7,Romantic,0.85,1
Hoodie,Jeans,Sandals,Office,Snow,38.8,Professional,0.2,0
Jacket,Shorts,Boots,Date,Sunny,10.9,Relaxed,0.5,0
T-Shirt,Skirt,Sports Shoes,Wedding,Snow,21.3,Happy,0.0,0
Dress,Pants,Heels,Party,Snow,13.2,Relaxed,0.9,1
Shirt,Skirt,Sports Shoes,Date,Clear,8.3,Romantic,0.8,1
Sweater,Pants,Boots,Date,Snow,37.1,Relaxed,0.6,1
Sweater,Pants,Boots,Casual,Snow,9.6,Relaxed,1.0,1
Dress,Shorts,Heels,Office,Cloudy,12.0,Happy,0.1,0
Coat,Pants,Sandals,Date,Rainy,10.0,Relaxed,0.55,0
Hoodie,Jeans,Sandals,Wedding,Sunny,33.1,Bold,0.0,0
T-Shirt,Pants,Boots,Wedding,Rainy,32.1,Bold,0.7,1
Coat,Shorts,Sports Shoes,Date,Cloudy,19.1,Bold,0.6,1
Coat,Shorts,Sandals,Office,Sunny,5.2,Professional,0.05,0
Dress,Skirt,Heels,Wedding,Sunny,8.1,Professional,0.95,1
Shirt,Skirt,Heels,Office,Clear,25.0,Bold,1.0,1
Jacket,Jeans,Casual Shoes,Date,Rainy,31.4,Relaxed,0.45,0
Sweater,Shorts,Sports Shoes,Office,Snow,22.3,Bold,0.0,0
Sweater,Jeans,Casual Shoes,Office,Sunny,15.2,Bold,0.25,0
Coat,Shorts,Sandals,Party,Rainy,30.4,Romantic,0.25,0
Hoodie,Pants,Casual Shoes,Date,Sunny,18.4,Bold,0.35,0
Dress,Pants,Sandals,Party,Cloudy,37.0,Romantic,0.8,1
Shirt,Pants,Sandals,Party,Cloudy,6.1,Professional,0.25,0
T-Shirt,Skirt,Sandals,Casual,Rainy,30.5,Romantic,0.75,1
Sweater,Skirt,Sports Shoes,Date,Snow,23.7,Relaxed,0.7,1
Jacket,Jeans,Casual Shoes,Wedding,Clear,25.0,Bold,0.25,0
Coat,Shorts,Sandals,Date,Snow,7.7,Bold,0.45,0
Coat,Shorts,Sports Shoes,Party,Cloudy,14.6,Bold,0.6,1
Blouse,Pants,Boots,Office,Sunny,31.9,Romantic,1.0,1
Coat,Shorts,Sandals,Office,Snow,9.4,Romantic,0.0,0
Coat,Skirt,Sandals,Date,Snow,16.1,Bold,0.65,1
Dress,Pants,Heels,Casual,Cloudy,5.2,Happy,0.6,1
Dress,Shorts,Boots,Office,Rainy,16.6,Bold,0.25,0
Blouse,Skirt,Sports Shoes,Office,Cloudy,39.9,Romantic,0.75,1
Sweater,Skirt,Boots,Wedding,Clear,31.4,Relaxed,0.7,1
Sweater,Pants,Sandals,Wedding,Rainy,16.6,Professional,0.75,1
Hoodie,Shorts,Casual Shoes,Office,Clear,39.0,Relaxed,0.0,0
Dress,Shorts,Sports Shoes,Date,Cloudy,17.9,Relaxed,0.7,1
Shirt,Pants,Sandals,Wedding,Snow,27.3,Romantic,1.0,1
Sweater,Shorts,Sandals,Date,Snow,28.6,Professional,0.3,0
T-Shirt,Shorts,Boots,Date,Snow,9.2,Professional,0.45,0
Coat,Pants,Sports Shoes,Wedding,Cloudy,25.7,Happy,0.35,0
Dress,Skirt,Sandals,Party,Snow,33.4,Relaxed,0.65,1
Dress,Skirt,Sandals,Date,Cloudy,16.0,Romantic,0.9,1
Sweater,Jeans,Casual Shoes,Office,Rainy,26.6,Happy,0.7,1
Shirt,Jeans,Boots,Date,Sunny,35.5,Relaxed,0.6,1
Jacket,Skirt,Casual Shoes,Party,Clear,35.3,Romantic,0.25,0
Hoodie,Shorts,Casual Shoes,Party,Cloudy,36.0,Happy,0.5,0
Hoodie,Shorts,Casual Shoes,Party,Rainy,36.9,Romantic,0.4,0
Dress,Shorts,Casual Shoes,Casual,Cloudy,36.4,Romantic,0.85,1
Coat,Jeans,Casual Shoes,Date,Sunny,24.9,Professional,0.25,0
T-Shirt,Skirt,Sandals,Casual,Rainy,26.4,Happy,0.75,1
Blouse,Skirt,Casual Shoes,Casual,Snow,38.6,Professional,0.5,0
Sweater,Shorts,Heels,Casual,Sunny,16.6,Relaxed,0.65,1
Jacket,Pants,Heels,Wedding,Clear,5.1,Happy,0.9,1
Coat,Skirt,Sandals,Casual,Rainy,30.7,Relaxed,0.65,1
Sweater,Jeans,Sports Shoes,Wedding,Rainy,24.6,Professional,0.35,0
Hoodie,Shorts,Casual Shoes,Party,Cloudy,9.0,Bold,0.7,1
Sweater,Jeans,Casual Shoes,Wedding,Sunny,28.3,Bold,0.25,0
Hoodie,Pants,Casual Shoes,Party,Clear,14.1,Relaxed,0.55,1
Jacket,Skirt,Casual Shoes,Party,Rainy,6.0,Relaxed,0.7,1
Coat,Skirt,Sandals,Party,Snow,33.0,Happy,0.5,0
Hoodie,Shorts,Boots,Office,Rainy,20.9,Relaxed,0.05,0
Dress,Skirt,Sports Shoes,Party,Sunny,30.0,Professional,0.6,1
Sweater,Jeans,Casual Shoes,Casual,Snow,19.9,Happy,1.0,1
Jacket,Jeans,Sports Shoes,Casual,Cloudy,39.7,Romantic,0.5,0
Hoodie,Skirt,Boots,Party,Snow,25.4,Bold,1.0,1
T-Shirt,Pants,Casual Shoes,Date,Clear,6.6,Relaxed,0.5,0
Jacket,Shorts,Sandals,Date,Clear,8.4,Romantic,0.5,0
Sweater,Skirt,Boots,Office,Sunny,8.7,Professional,1.0,1
Dress,Skirt,Sports Shoes,Wedding,Sunny,12.6,Professional,0.35,0
Blouse,Pants,Sandals,Date,Rainy,8.3,Romantic,0.65,1
Sweater,Pants,Heels,Office,Clear,34.0,Happy,0.6,1
Coat,Pants,Boots,Office,Snow,14.2,Happy,1.0,1
Hoodie,Pants,Heels,Wedding,Clear,19.7,Professional,0.3,0
Shirt,Jeans,Sandals,Wedding,Cloudy,38.6,Bold,0.9,1
T-Shirt,Jeans,Sandals,Party,Snow,21.1,Relaxed,0.45,0
Sweater,Skirt,Sports Shoes,Wedding,Sunny,29.4,Relaxed,0.1,0
Sweater,Shorts,Boots,Casual,Rainy,29.5,Romantic,0.65,1
Jacket,Jeans,Heels,Casual,Rainy,24.1,Relaxed,1.0,1
Jacket,Jeans,Sandals,Wedding,Clear,31.4,Romantic,0.5,0
T-Shirt,Shorts,Sports Shoes,Office,Sunny,27.9,Relaxed,0.0,0
Jacket,Pants,Sandals,Party,Snow,10.3,Bold,0.7,1
T-Shirt,Skirt,Casual Shoes,Office,Snow,14.6,Happy,0.4,0
T-Shirt,Jeans,Boots,Casual,Clear,14.4,Happy,1.0,1
Hoodie,Shorts,Boots,Wedding,Sunny,34.3,Bold,0.0,0
Dress,Skirt,Sports Shoes,Office,Snow,36.7,Happy,0.5,0
Hoodie,Jeans,Heels,Office,Sunny,35.8,Bold,0.1,0
Dress,Jeans,Sports Shoes,Date,Cloudy,5.1,Romantic,0.9,1
Sweater,Pants,Sandals,Office,Clear,27.2,Romantic,0.55,0
Sweater,Shorts,Casual Shoes,Casual,Sunny,35.1,Happy,0.7,1
Hoodie,Jeans,Sports Shoes,Wedding,Rainy,8.7,Bold,0.0,0
Coat,Skirt,Boots,Casual,Cloudy,35.2,Relaxed,0.4,0
Shirt,Skirt,Casual Shoes,Date,Cloudy,17.6,Happy,0.6,1
Jacket,Jeans,Heels,Casual,Clear,23.1,Relaxed,0.55,1
T-Shirt,Jeans,Sports Shoes,Party,Rainy,24.2,Happy,0.7,1
Hoodie,Pants,Sports Shoes,Office,Cloudy,35.0,Happy,0.0,0
Shirt,Pants,Sandals,Office,Sunny,8.4,Happy,0.9,1
Hoodie,Skirt,Sandals,Office,Snow,39.8,Professional,0.4,0
Shirt,Jeans,Casual Shoes,Office,Cloudy,18.9,Professional,0.85,1
Hoodie,Shorts,Sandals,Date,Cloudy,32.9,Bold,0.55,0
Blouse,Pants,Sandals,Casual,Cloudy,6.0,Professional,0.35,0
Dress,Jeans,Boots,Party,Sunny,7.7,Bold,1.0,1
Blouse,Jeans,Casual Shoes,Office,Snow,17.0,Bold,0.75,1
Hoodie,Shorts,Heels,Wedding,Clear,6.5,Romantic,0.0,0
Jacket,Pants,Casual Shoes,Office,Sunny,28.3,Happy,0.45,0
Dress,Shorts,Casual Shoes,Date,Snow,13.0,Bold,0.6,1
Hoodie,Skirt,Sports Shoes,Casual,Rainy,9.4,Relaxed,1.0,1
Dress,Pants,Boots,Office,Clear,26.5,Relaxed,0.75,1
Blouse,Skirt,Sandals,Date,Clear,13.8,Bold,0.65,1
Shirt,Jeans,Sports Shoes,Date,Clear,27.8,Bold,0.7,1
Sweater,Shorts,Boots,Office,Cloudy,30.6,Relaxed,0.05,0
Jacket,Pants,Casual Shoes,Date,Rainy,15.3,Bold,0.8,1
Blouse,Skirt,Sports Shoes,Casual,Snow,9.8,Bold,0.6,1
Shirt,Skirt,Heels,Date,Snow,37.0,Relaxed,0.75,1
Coat,Jeans,Sports Shoes,Party,Rainy,28.3,Relaxed,0.45,0
Shirt,Shorts,Casual Shoes,Office,Cloudy,12.7,Professional,0.3,0
Hoodie,Skirt,Boots,Wedding,Snow,19.1,Happy,0.9,1
Jacket,Skirt,Heels,Office,Clear,21.5,Romantic,0.6,1
Hoodie,Skirt,Casual Shoes,Casual,Cloudy,25.9,Happy,0.9,1
Coat,Jeans,Casual Shoes,Casual,Sunny,8.3,Happy,0.8,1
Shirt,Shorts,Sports Shoes,Party,Cloudy,7.0,Romantic,0.25,0
Dress,Skirt,Sandals,Party,Snow,18.0,Bold,0.7,1
Blouse,Skirt,Casual Shoes,Party,Clear,32.0,Bold,0.65,1
Dress,Jeans,Casual Shoes,Office,Clear,18.0,Professional,0.6,1
Shirt,Shorts,Boots,Casual,Snow,26.3,Bold,0.6,1
Blouse,Jeans,Sports Shoes,Wedding,Clear,18.3,Happy,0.45,0
Shirt,Shorts,Sandals,Office,Snow,16.0,Bold,0.05,0
Sweater,Pants,Heels,Date,Clear,15.9,Professional,0.4,0
Shirt,Shorts,Boots,Party,Sunny,5.7,Professional,0.4,0
T-Shirt,Shorts,Heels,Date,Cloudy,7.6,Bold,0.55,1
Sweater,Shorts,Boots,Party,Clear,12.5,Bold,0.6,1
Blouse,Pants,Heels,Wedding,Cloudy,9.9,Bold,1.0,1
T-Shirt,Pants,Casual Shoes,Office,Cloudy,10.7,Romantic,0.4,0
Coat,Jeans,Sandals,Date,Sunny,14.0,Romantic,0.6,1
Blouse,Skirt,Casual Shoes,Office,Clear,38.1,Bold,0.95,1
Blouse,Skirt,Heels,Office,Snow,35.3,Romantic,1.0,1
Shirt,Skirt,Sports Shoes,Wedding,Clear,15.9,Relaxed,0.65,1
Hoodie,Skirt,Heels,Date,Snow,18.3,Relaxed,0.85,1
Jacket,Skirt,Sports Shoes,Wedding,Snow,15.0,Romantic,0.7,1
Dress,Skirt,Casual Shoes,Party,Cloudy,25.9,Relaxed,0.7,1
T-Shirt,Jeans,Sports Shoes,Party,Sunny,23.6,Happy,0.7,1
Blouse,Shorts,Boots,Wedding,Sunny,16.9,Romantic,0.85,1
Hoodie,Jeans,Sports Shoes,Date,Cloudy,33.6,Romantic,0.45,0
Jacket,Pants,Boots,Wedding,Rainy,11.4,Bold,1.0,1
T-Shirt,Pants,Sports Shoes,Wedding,Rainy,12.3,Happy,0.0,0
Dress,Pants,Casual Shoes,Party,Clear,19.6,Relaxed,0.7,1
T-Shirt,Shorts,Boots,Wedding,Snow,26.1,Bold,0.0,0
Coat,Jeans,Heels,Casual,Sunny,24.4,Romantic,0.4,0
Blouse,Jeans,Casual Shoes,Casual,Rainy,25.8,Professional,0.65,1
Shirt,Shorts,Sports Shoes,Office,Sunny,34.1,Professional,0.4,0
Shirt,Shorts,Sandals,Date,Snow,8.0,Bold,0.35,0
Hoodie,Skirt,Sandals,Casual,Sunny,12.0,Romantic,0.7,1
T-Shirt,Skirt,Sandals,Wedding,Clear,32.8,Bold,0.4,0
Sweater,Pants,Boots,Party,Cloudy,28.1,Bold,0.4,0
Jacket,Pants,Casual Shoes,Party,Clear,17.6,Bold,0.4,0
Jacket,Shorts,Sandals,Office,Sunny,33.4,Professional,0.2,0
Coat,Shorts,Sports Shoes,Wedding,Rainy,22.3,Relaxed,0.0,0
T-Shirt,Jeans,Sandals,Office,Snow,21.4,Happy,0.05,0
Coat,Skirt,Casual Shoes,Wedding,Rainy,18.1,Bold,0.9,1
T-Shirt,Jeans,Heels,Wedding,Rainy,28.0,Relaxed,0.35,0
Hoodie,Pants,Casual Shoes,Date,Snow,35.6,Romantic,0.65,1
Sweater,Jeans,Sports Shoes,Party,Sunny,28.3,Romantic,0.25,0
Blouse,Shorts,Sports Shoes,Party,Rainy,33.1,Professional,0.25,0
Shirt,Pants,Heels,Date,Sunny,27.0,Bold,0.85,1
Coat,Pants,Sandals,Casual,Cloudy,28.2,Professional,0.35,0
Jacket,Skirt,Boots,Office,Clear,19.6,Bold,0.6,1
Blouse,Jeans,Sports Shoes,Date,Clear,31.2,Bold,0.7,1
Shirt,Shorts,Sandals,Casual,Cloudy,14.5,Happy,0.5,0
Jacket,Shorts,Casual Shoes,Casual,Snow,27.7,Bold,0.75,1
T-Shirt,Skirt,Boots,Date,Sunny,26.1,Happy,0.5,0
Coat,Shorts,Heels,Casual,Rainy,35.8,Bold,0.5,0
Shirt,Shorts,Heels,Party,Snow,27.8,Relaxed,0.45,0
Shirt,Shorts,Casual Shoes,Office,Sunny,24.4,Relaxed,0.4,0
T-Shirt,Jeans,Sandals,Office,Cloudy,20.0,Happy,0.2,0
Sweater,Jeans,Boots,Casual,Sunny,30.5,Relaxed,0.55,1
Jacket,Shorts,Sandals,Casual,Sunny,28.9,Bold,0.7,1
Shirt,Jeans,Boots,Date,Snow,10.7,Romantic,0.95,1
Dress,Skirt,Boots,Wedding,Cloudy,20.8,Bold,0.95,1
Sweater,Skirt,Sports Shoes,Wedding,Sunny,10.5,Happy,0.3,0
Shirt,Skirt,Heels,Wedding,Cloudy,23.3,Romantic,1.0,1
Hoodie,Jeans,Sports Shoes,Date,Sunny,27.8,Happy,0.25,0
Blouse,Jeans,Casual Shoes,Casual,Clear,16.5,Professional,0.65,1
Shirt,Skirt,Sports Shoes,Date,Snow,29.8,Happy,0.6,1
